Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds)
186,"20001, Northwest Washington, Washington",1,"5400 Arnold Avenue Southwest, Southwest Washington, Washington","9/1/2019 - 9/30/2019, Every day, Daily Average",823,555,1219
186,"20001, Northwest Washington, Washington",2,"1400 Juniper Street Northwest, Northwest Washington, Washington","9/1/2019 - 9/30/2019, Every day, Daily Average",1593,1298,1954
186,"20001, Northwest Washington, Washington",3,"4800 Canal Road Northwest, Northwest Washington, Washington","9/1/2019 - 9/30/2019, Every day, Daily Average",1334,1016,1750
186,"20001, Northwest Washington, Washington",4,"2700 Unicorn Lane Northwest, Northwest Washington, Washington","9/1/2019 - 9/30/2019, Every day, Daily Average",1676,1363,2060
186,"20001, Northwest Washington, Washington",5,"4500 Q Place Northwest, Northwest Washington, Washington","9/1/2019 - 9/30/2019, Every day, Daily Average",1060,780,1439
186,"20001, Northwest Washington, Washington",6,"Ridge Road Northwest, Northwest Washington, Washington","9/1/2019 - 9/30/2019, Every day, Daily Average",1373,1081,1743
186,"20001, Northwest Washington, Washington",7,"4500 Ohio Drive Southwest, Southwest Washington, Washington","9/1/2019 - 9/30/2019, Every day, Daily Average",298,151,585
186,"20001, Northwest Washington, Washington",8,"0 H Street Northwest, Northwest Washington, Washington","9/1/2019 - 9/30/2019, Every day, Daily Average",200,84,472
186,"20001, Northwest Washington, Washington",9,"1800 Upshur Street Northwest, Northwest Washington, Washington","9/1/2019 - 9/30/2019, Every day, Daily Average",1123,873,1442
186,"20001, Northwest Washington, Washington",10,"1500 30th Street Northwest, Northwest Washington, Washington","9/1/2019 - 9/30/2019, Every day, Daily Average",765,526,1112
186,"20001, Northwest Washington, Washington",11,"1600 Tuckerman Street Northwest, Northwest Washington, Washington","9/1/2019 - 9/30/2019, Every day, Daily Average",1398,1126,1734
186,"20001, Northwest Washington, Washington",12,"8000 Poplar Hill Drive, Clinton","9/1/2019 - 9/30/2019, Every day, Daily Average",1949,1566,2425
186,"20001, Northwest Washington, Washington",13,"2100 Monticello Court, Fort Washington","9/1/2019 - 9/30/2019, Every day, Daily Average",1532,1145,2048
186,"20001, Northwest Washington, Washington",14,"0 Hesketh Street, Chevy Chase","9/1/2019 - 9/30/2019, Every day, Daily Average",1671,1348,2070
186,"20001, Northwest Washington, Washington",15,"8100 Roanoke Avenue, Takoma Park","9/1/2019 - 9/30/2019, Every day, Daily Average",1875,1519,2313
186,"20001, Northwest Washington, Washington",16,"8800 Walden Road, Silver Spring","9/1/2019 - 9/30/2019, Every day, Daily Average",1977,1586,2463
186,"20001, Northwest Washington, Washington",17,"8300 Colesville Road, Downtown Silver Spring, Silver Spring","9/1/2019 - 9/30/2019, Every day, Daily Average",1700,1404,2057
186,"20001, Northwest Washington, Washington",18,"8900 Moreland Lane, Annandale","9/1/2019 - 9/30/2019, Every day, Daily Average",1581,1222,2043
186,"20001, Northwest Washington, Washington",19,"Thomas Avenue, Arlington","9/1/2019 - 9/30/2019, Every day, Daily Average",721,491,1056
186,"20001, Northwest Washington, Washington",20,"McClellan Drive, Arlington","9/1/2019 - 9/30/2019, Every day, Daily Average",553,357,855
186,"20001, Northwest Washington, Washington",21,"3600 North Vernon Street, Old Glebe, Arlington","9/1/2019 - 9/30/2019, Every day, Daily Average",1040,783,1379
186,"20001, Northwest Washington, Washington",22,"6500 Park View Court, West Springfield","9/1/2019 - 9/30/2019, Every day, Daily Average",1777,1372,2300
186,"20001, Northwest Washington, Washington",23,"6500 Bellamine Court, McLean","9/1/2019 - 9/30/2019, Every day, Daily Average",1241,963,1597
186,"20001, Northwest Washington, Washington",24,"8600 Brook Road, McLean","9/1/2019 - 9/30/2019, Every day, Daily Average",1647,1282,2114
186,"20001, Northwest Washington, Washington",25,"8200 Mockingbird Drive, Annandale","9/1/2019 - 9/30/2019, Every day, Daily Average",1569,1192,2063
186,"20001, Northwest Washington, Washington",26,"9400 Pamlico Lane, Great Falls","9/1/2019 - 9/30/2019, Every day, Daily Average",1530,1151,2032
186,"20001, Northwest Washington, Washington",27,"6200 Everglades Drive, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1365,999,1864
186,"20001, Northwest Washington, Washington",28,"2100 North Scott Street, North Highland, Arlington","9/1/2019 - 9/30/2019, Every day, Daily Average",802,571,1126
186,"20001, Northwest Washington, Washington",29,"700 Carpenter Road, Potomac Yard, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",853,615,1182
186,"20001, Northwest Washington, Washington",30,"0 Auburn Court, Potomac West, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1009,736,1383
186,"20001, Northwest Washington, Washington",31,"1000 C Street Northeast, Northeast Washington, Washington","9/1/2019 - 9/30/2019, Every day, Daily Average",735,545,990
186,"20001, Northwest Washington, Washington",32,"2600 13th Street Northwest, Northwest Washington, Washington","9/1/2019 - 9/30/2019, Every day, Daily Average",699,519,940
186,"20001, Northwest Washington, Washington",33,"4400 E Street Southeast, Benning Ridge, Washington","9/1/2019 - 9/30/2019, Every day, Daily Average",1354,989,1853
186,"20001, Northwest Washington, Washington",34,"1700 Independence Avenue Southeast, Southeast Washington, Washington","9/1/2019 - 9/30/2019, Every day, Daily Average",990,756,1294
