state,median_house_inc,share_unemp_seas,share_pop_metro,share_pop_hs,date
Alabama,25-12-124,0.06,0.64,0.821,25-12-32
Alaska,67629,0.064,0.63,0.914,1/1/22
Arizona,49254,,,,1/2/22
Arkansas,44922,0.052,0.69,0.824,1/3/22
California,60487,0.059,0.97,0.806,1/4/22
Colorado,60940,0.04,0.8,0.893,1/5/22
Connecticut,70161,0.052,0.94,0.886,1/6/22
Delaware,57522,0.049,0.9,0.874,1/7/22
District of Columbia,68277,0.067,1,0.871,1/8/22
Florida,46140,0.052,0.96,0.853,1/9/22
Georgia,49555,0.058,0.82,0.839,1/10/22
Hawaii,71223,0.034,0.76,0.904,1/11/22
Idaho,53438,0.042,0.7,0.884,1/12/22
Illinois,54916,0.054,0.9,0.864,1/13/22
Indiana,48060,0.044,0.79,0.866,1/14/22
Iowa,57810,0.036,0.6,0.914,1/15/22
Kansas,53444,0.044,0.64,0.897,1/16/22
Kentucky,42786,0.05,0.56,0.817,1/17/22
Louisiana,42406,0.06,0.81,0.822,1/18/22
Maine,51710,0.044,0.54,0.902,1/19/22
Maryland,76165,0.051,0.97,0.89,1/20/22
Massachusetts,63151,0.046,0.97,0.89,1/21/22
Michigan,52005,0.05,0.87,0.879,1/22/22
Minnesota,67244,0.038,0.75,0.915,1/23/22
Mississippi,35521,0.061,0.45,0.804,1/24/22
Missouri,56630,0.053,0.78,0.868,1/25/22
Montana,51102,0.041,0.34,0.908,1/26/22
Nebraska,56870,0.029,0.6,0.898,1/27/22
Nevada,49875,0.067,0.87,0.839,1/28/22
New Hampshire,73397,0.034,0.63,0.913,1/29/22
New Jersey,65243,0.056,1,0.874,1/30/22
New Mexico,46686,0.068,0.69,0.828,1/31/22
New York,54310,0.051,0.94,0.847,2/1/22
North Carolina,46784,0.058,0.76,0.843,2/2/22
North Dakota,60730,0.028,0.5,0.901,2/3/22
Ohio,49644,0.045,0.75,0.876,2/4/22
Oklahoma,47199,0.044,0.59,0.856,2/5/22
Oregon,58875,0.062,0.87,0.891,2/6/22
Pennsylvania,55173,0.053,0.87,0.879,2/7/22
Rhode Island,58633,0.054,1,0.847,2/8/22
South Carolina,44929,0.057,0.79,0.836,2/9/22
South Dakota,53053,0.035,0.51,0.899,2/10/22
Tennessee,43716,0.057,0.82,0.831,2/11/22
Texas,53875,0.042,0.92,0.799,2/12/22
Utah,63383,0.036,0.82,0.904,2/13/22
Vermont,60708,0.037,0.35,0.91,2/14/22
Virginia,66155,0.043,0.89,0.866,2/15/22
Washington,59068,0.052,0.86,0.897,2/16/22
West Virginia,39552,0.073,0.55,0.828,2/17/22
Wisconsin,58080,0.043,0.69,0.898,2/18/22
Wyoming,55690,0.04,0.31,0.918,2/19/22
